agent_action;agent_location;human_action;human_location;world_nr;tick_nr
RemoveObject;(24, 17);;(13, 10);1;233
RemoveObject;(24, 17);;(13, 10);1;234
RemoveObject;(24, 17);;(13, 10);1;235
RemoveObject;(24, 17);;(13, 10);1;236
RemoveObject;(24, 17);;(13, 10);1;237
RemoveObject;(24, 17);;(13, 10);1;238
RemoveObject;(24, 17);;(13, 10);1;239
RemoveObject;(24, 17);;(13, 10);1;240
RemoveObject;(24, 17);;(13, 10);1;241
RemoveObject;(24, 17);;(13, 10);1;242
RemoveObject;(24, 17);;(13, 10);1;243
RemoveObject;(24, 17);;(13, 10);1;244
RemoveObject;(24, 17);;(13, 10);1;245
RemoveObject;(24, 17);;(13, 10);1;246
RemoveObject;(24, 17);;(13, 10);1;247
RemoveObject;(24, 17);;(13, 10);1;248
RemoveObject;(24, 17);;(13, 10);1;249
RemoveObject;(24, 17);;(13, 10);1;250
RemoveObject;(24, 17);;(13, 10);1;251
RemoveObject;(24, 17);;(13, 10);1;252
RemoveObject;(24, 17);;(13, 10);1;253
RemoveObject;(24, 17);;(13, 10);1;254
RemoveObject;(24, 17);;(13, 10);1;255
RemoveObject;(24, 17);;(13, 10);1;256
RemoveObject;(24, 17);;(13, 10);1;257
RemoveObject;(24, 17);;(13, 10);1;258
RemoveObject;(24, 17);;(13, 10);1;259
RemoveObject;(24, 17);;(13, 10);1;260
RemoveObject;(24, 17);;(13, 10);1;261
RemoveObject;(24, 17);;(13, 10);1;262
RemoveObject;(24, 17);;(13, 10);1;263
RemoveObject;(24, 17);;(13, 10);1;264
RemoveObject;(24, 17);;(13, 10);1;265
